id	Desplazamiento	Velocidad	Aceleracion
3.370000	0.118221	0.746984	-4.395877	
3.380000	0.125465	0.701383	-4.696928	
3.390000	0.132239	0.652851	-4.980300	
3.400000	0.138513	0.601572	-5.244802	
3.410000	0.144262	0.547742	-5.489319	
3.420000	0.149460	0.491566	-5.712809	
3.430000	0.154086	0.433259	-5.914313	
3.440000	0.158119	0.373047	-6.092956	
3.450000	0.161542	0.311163	-6.247953	
3.460000	0.164338	0.247847	-6.378610	
3.470000	0.166495	0.183346	-6.484329	
3.480000	0.168002	0.117913	-6.564610	
3.490000	0.168851	0.051806	-6.619053	
3.500000	0.169036	-0.014716	-6.647360	
3.510000	0.168556	-0.081389	-6.649338	
3.520000	0.167409	-0.147948	-6.624897	
3.530000	0.165598	-0.214130	-6.574054	
3.540000	0.163129	-0.279669	-6.496931	
3.550000	0.160008	-0.344303	-6.393755	
3.560000	0.156247	-0.407773	-6.264859	
3.570000	0.151857	-0.469823	-6.110679	
3.580000	0.146856	-0.530202	-5.931755	
3.590000	0.141260	-0.588665	-5.728725	
3.600000	0.135090	-0.644974	-5.502328	
3.610000	0.128368	-0.698899	-5.253396	
3.620000	0.121120	-0.750219	-4.982856	
3.630000	0.113373	-0.798723	-4.691722	
3.640000	0.105156	-0.844208	-4.381094	
3.650000	0.096500	-0.886486	-4.052154	
3.660000	0.087438	-0.925379	-3.706160	
3.670000	0.078004	-0.960723	-3.344442	
3.680000	0.068235	-0.992368	-2.968394	
3.690000	0.058169	-1.020177	-2.579475	
3.700000	0.047845	-1.044028	-2.179198	
3.710000	0.037302	-1.063815	-1.769125	
3.720000	0.026583	-1.079449	-1.350862	
3.730000	0.015727	-1.090856	-0.926052	
3.740000	0.004780	-1.097978	-0.496369	
3.750000	-0.006218	-1.100774	-0.063510	
3.760000	-0.017221	-1.099223	0.370808	
3.770000	-0.028188	-1.093317	0.804862	
3.780000	-0.039073	-1.083069	1.236920	
3.790000	-0.049835	-1.068506	1.665259	
3.800000	-0.060429	-1.049675	2.088161	
3.810000	-0.070814	-1.026639	2.503929	
3.820000	-0.080948	-0.999479	2.910887	
3.830000	-0.090791	-0.968289	3.307393	
3.840000	-0.100301	-0.933184	3.691840	
3.850000	-0.109442	-0.894292	4.062666	
3.860000	-0.118175	-0.851758	4.418358	
3.870000	-0.126465	-0.805740	4.757461	
3.880000	-0.134279	-0.756412	5.078582	
3.890000	-0.141583	-0.703961	5.380395	
3.900000	-0.148348	-0.648587	5.661651	
3.910000	-0.154546	-0.590502	5.921175	
3.920000	-0.160150	-0.529930	6.157880	
3.930000	-0.165137	-0.467103	6.370765	
3.940000	-0.169486	-0.402266	6.558923	
3.950000	-0.173177	-0.335671	6.721541	
3.960000	-0.176194	-0.267577	6.857909	
3.970000	-0.178524	-0.198251	6.967417	
3.980000	-0.180156	-0.127965	7.049563	
3.990000	-0.181081	-0.056994	7.103951	
4.000000	-0.181295	0.014380	7.130296	
4.010000	-0.180793	0.085877	7.128424	
4.020000	-0.179578	0.157212	7.098273	
4.030000	-0.177651	0.228103	7.039893	
4.040000	-0.175018	0.298267	6.953448	
4.050000	-0.171689	0.367424	6.839212	
4.060000	-0.167674	0.435298	6.697573	
4.070000	-0.162988	0.501615	6.529027	
4.080000	-0.157648	0.566110	6.334181	
4.090000	-0.151673	0.628522	6.113747	
4.100000	-0.145085	0.688599	5.868538	
4.110000	-0.137909	0.746097	5.599473	
4.120000	-0.130173	0.800781	5.307563	
4.130000	-0.121904	0.852428	4.993917	
4.140000	-0.113135	0.900826	4.659729	
4.150000	-0.103899	0.945777	4.306280	
4.160000	-0.094232	0.987092	3.934931	
4.170000	-0.084170	1.024600	3.547115	
4.180000	-0.073753	1.058144	3.144337	
4.190000	-0.063021	1.087582	2.728163	
4.200000	-0.052015	1.112786	2.300217	
4.210000	-0.040779	1.133648	1.862172	
4.220000	-0.029357	1.150075	1.415745	
4.230000	-0.017793	1.161991	0.962693	
4.240000	-0.006132	1.169340	0.504801	
4.250000	0.005579	1.172081	0.043877	
4.260000	0.017294	1.170194	-0.418254	
4.270000	0.028967	1.163676	-0.879759	
4.280000	0.040552	1.152542	-1.338803	
4.290000	0.052003	1.136826	-1.793556	
4.300000	0.063273	1.116581	-2.242204	
4.310000	0.074319	1.091876	-2.682949	
4.320000	0.085096	1.062799	-3.114025	
4.330000	0.095561	1.029458	-3.533698	
4.340000	0.105672	0.991973	-3.940276	
4.350000	0.115387	0.950485	-4.332117	
4.360000	0.124669	0.905150	-4.707633	
4.370000	0.133478	0.856139	-5.065297	
4.380000	0.141780	0.803638	-5.403652	
4.390000	0.149540	0.747848	-5.721313	
4.400000	0.156727	0.688984	-6.016975	
4.410000	0.163310	0.627271	-6.289418	
4.420000	0.169264	0.562949	-6.537512	
4.430000	0.174562	0.496266	-6.760221	
4.440000	0.179182	0.427483	-6.956609	
4.450000	0.183105	0.356867	-7.125842	
4.460000	0.186314	0.284694	-7.267192	
4.470000	0.188795	0.211247	-7.380041	
4.480000	0.190536	0.136814	-7.463883	
4.490000	0.191529	0.061689	-7.518328	
4.500000	0.191769	-0.013833	-7.543098	
4.510000	0.191252	-0.089454	-7.538038	
4.520000	0.189980	-0.164873	-7.503107	
4.530000	0.187956	-0.239792	-7.438384	
4.540000	0.185187	-0.313913	-7.344067	
4.550000	0.181682	-0.386941	-7.220473	
4.560000	0.177453	-0.458584	-7.068034	
4.570000	0.172516	-0.528556	-6.887299	
4.580000	0.166888	-0.596576	-6.678931	
4.590000	0.160592	-0.662372	-6.443702	
4.600000	0.153649	-0.725678	-6.182494	
4.610000	0.146087	-0.786238	-5.896294	
4.620000	0.137935	-0.843808	-5.586190	
4.630000	0.129222	-0.898154	-5.253366	
4.640000	0.119983	-0.949054	-4.899100	
4.650000	0.110253	-0.996301	-4.524758	
4.660000	0.100070	-1.039699	-4.131786	
4.670000	0.089473	-1.079071	-3.721710	
4.680000	0.078502	-1.114252	-3.296123	
4.690000	0.067202	-1.145096	-2.856686	
4.700000	0.055615	-1.171471	-2.405116	
4.710000	0.043788	-1.193266	-1.943183	
4.720000	0.031766	-1.210385	-1.472701	
4.730000	0.019596	-1.222753	-0.995519	
4.740000	0.007327	-1.230311	-0.513518	
4.750000	-0.004994	-1.233020	-0.028603	
4.760000	-0.017318	-1.230862	0.457310	
4.770000	-0.029595	-1.223835	0.942293	
4.780000	-0.041778	-1.211959	1.424422	
4.790000	-0.053818	-1.195272	1.901780	
4.800000	-0.065668	-1.173831	2.372463	
4.810000	-0.077279	-1.147713	2.834595	
4.820000	-0.088607	-1.117013	3.286326	
4.830000	-0.099605	-1.081845	3.725847	
4.840000	-0.110229	-1.042339	4.151393	
4.850000	-0.120438	-0.998644	4.561253	
4.860000	-0.130189	-0.950927	4.953773	
4.870000	-0.139443	-0.899368	5.327367	
4.880000	-0.148164	-0.844165	5.680520	
4.890000	-0.156315	-0.785531	6.011798	
4.900000	-0.163864	-0.723692	6.319848	
4.910000	-0.170779	-0.658887	6.603411	
4.920000	-0.177033	-0.591367	6.861320	
4.930000	-0.182599	-0.521395	7.092508	
4.940000	-0.187454	-0.449244	7.296015	
4.950000	-0.191577	-0.375195	7.470986	
4.960000	-0.194952	-0.299540	7.616681	
4.970000	-0.197564	-0.222573	7.732473	
4.980000	-0.199400	-0.144599	7.817854	
4.990000	-0.200454	-0.065923	7.872434	
5.000000	-0.200718	0.013144	7.895946	
5.010000	-0.200190	0.092290	7.888247	
5.020000	-0.198873	0.171201	7.849316	
5.030000	-0.196768	0.249565	7.779257	
5.040000	-0.193884	0.327071	7.678296	
5.050000	-0.190231	0.403411	7.546784	
5.060000	-0.185821	0.478281	7.385194	
5.070000	-0.180671	0.551382	7.194117	
5.080000	-0.174800	0.622422	6.974264	
5.090000	-0.168231	0.691117	6.726461	
5.100000	-0.160987	0.757190	6.451645	
5.110000	-0.153096	0.820377	6.150863	
5.120000	-0.144590	0.880423	5.825267	
